ukbench00000.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3226.25214062,99.1408542621,2095.31976562,2056.21234375,-111.005440355,335.213861153,-164.934536418,808.847379086,-66.0175583654,1941.52152344,1935.81207031,-1.55505052992,790.719584246,34.5227583325,-16.951625545,50.844723205,182.320158345,32.3747133153,797.779450603,38.547815526,2036.17596875,2191.02196875,-8.35334322637,766.288492114,-17.8787816918,206.645382918,118.914092074,-80.5764697729,59.7382261951,-114.600820492,51.3718738537,260.219665176,-46.3066521479,741.544137969,-99.9465736547,3226.29164062,87.8809311118,746.280401838,-16.8531379265,300.970604626,29.9776862393,-64.6872974744,72.2882994421,47.6178169206,-30.8729100432,4.64297754994,265.168998324,37.3284839635,341.355647698,-165.03414809,179.899544007,32.5657834046,-22.6851687431,-1.35258261355,-9.65735281489,-27.9260234953,99.2480072573,-12.4565366884,69.9542959945,-84.1190176402,21.0831999214,60.73796761,-103.761504567,62.3507656076
1,2081.45667188,-6.88023851929,2180.02620312,2189.71074219,4.72992193708,-21.75073541,11.3950876357,-64.2399821935,-3.36160124724,2191.46760156,2180.88282031,1.41719372953,-66.0747076371,4.28040553472,2.0730492572,-3.60984470875,-14.0998197023,8.23666511128,-61.4995343118,-1.43845806227,2200.28461719,2212.03336719,1.95548150884,-59.4958479843,-3.62344493582,-17.6247746279,-12.7508308311,4.96717646118,-3.69628877411,8.6415585319,-5.59110489097,-22.6093471051,0.100425229263,-68.6222323509,8.04925573233,2105.22880469,-10.2806824835,-79.4046623251,-1.40157735581,-13.8824893282,3.56411404241,6.93078492766,-5.71060048626,-2.28241090151,2.80018102164,4.36346178176,-18.4555367074,-1.63973200034,-37.3608470979,18.8344014855,-19.7132476517,-0.879174703911,-4.33259307869,-1.8314289442,-5.6224803979,0.800668335379,-11.3673800671,2.28266774792,-8.02151013024,13.8052221792,-1.35370735707,-1.10628869197,11.2062070131,-5.74389434057
2,2025.12457812,4.60131420245,1966.75376563,1960.19752344,-2.51303096292,14.5161021089,-7.47013739894,40.7104008286,3.73296115196,1959.91182031,1971.59578906,-0.0260668238246,42.54281559,-3.25154429221,-0.924177514467,2.65352162679,6.98937488155,-8.72235758486,39.1800086479,4.81546615242,1951.00599219,1940.79317969,0.143242886404,35.6770467723,1.81102067509,8.73671860194,8.01141552928,-3.44913417633,1.1485622446,-5.04496173627,5.61849488468,13.0696479862,-3.35180930705,45.707483846,-5.03512096925,2008.80539844,6.40385946245,52.1721072109,-0.586342207064,4.60581183479,-3.46478179699,-4.13132927317,3.67727137784,2.40746651156,-3.64571557168,-5.22773872739,9.45887349931,0.86004909706,25.4148213679,-13.3498302234,13.1857350323,0.304940859551,5.1844716188,2.2793899987,4.96367670833,-1.0965682336,8.35720353974,-1.54532110329,7.18993926445,-10.2462092385,0.910445719925,-2.15154535207,-7.29121053009,4.22702069782
ukbench00001.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3515.58142187,18.1748630481,3255.33533594,3197.02288281,-104.003831849,134.583441476,-51.609593786,221.994493483,-109.546650934,3051.04336719,2965.12488281,-36.8016697782,232.969552607,78.5913351397,9.57802651621,32.9324707636,55.3997668012,95.5224592391,262.183211279,-2.29417725376,3202.16379687,3325.28140625,-53.0622573034,271.09063554,18.6483728811,84.9463893812,44.9092259133,-23.2591181888,34.8037271107,21.0722962082,43.250397336,143.823447691,-4.34433927778,214.651864888,-70.5174242811,3591.6234375,22.3749352498,173.029646939,35.4741052919,188.299447762,37.0128900617,16.1700115545,60.0177968735,20.4473868144,27.5828111148,29.3059733746,99.4640373756,34.5000148481,109.912545896,-38.4019352989,71.3178066301,37.186393565,27.1785006938,0.131839891593,-35.7985374841,26.8507780732,56.5619293087,-10.0796414377,9.6023872378,18.4822454151,9.67442657691,46.40216612,-26.7293547155,23.8363161656
1,2051.27180469,-1.76778928765,2060.70352344,2079.49061719,10.2077524783,-1.67281863654,2.62059902716,-8.91946851511,12.7869719202,2103.27365625,2100.32010937,5.44133525173,-15.9481858796,-14.625479042,-0.621143588827,0.200570814483,5.17876720133,-12.7840325611,-19.8298454154,2.83446520063,2087.42920312,2063.95351562,7.2070304828,-21.909089074,-5.36804783112,1.44419378504,5.04873726678,0.91144630367,-2.8528217767,-4.63356543044,-2.54272012887,-10.8076189174,-3.70034908233,-15.0443707747,6.76211622515,2055.96039844,-0.49408857403,-4.06537965476,-7.72777278221,-9.13838287501,-1.67886771282,-5.3106696704,-3.36203313874,-2.5581977793,-4.37515462199,-0.792906457531,-6.23457153827,-9.42293616578,-5.28059841556,0.872247596834,-5.41152134205,1.09810361698,1.41923255093,0.304044066039,3.77897421064,-3.67642649968,2.12588164487,0.20961849072,-0.173500834427,-1.03039036114,-6.4237674282,0.11084333387,1.96040606178,-0.73945580716
2,2035.84483594,2.98473746141,2020.19727344,2006.34921094,-11.3829629526,7.22976726796,-4.30645548996,14.6760247644,-10.7179388868,1987.53759375,1993.82945313,-4.04025013871,20.9250154961,12.1415219133,0.101011308547,0.491290388112,-1.4292340572,9.75227919557,23.7257296468,0.000301230888916,1997.58623438,2013.02698437,-6.19390215799,23.2968349216,3.4486483797,0.939253252013,0.417517689156,-1.75935955609,1.94963024962,3.53583500647,2.66629202413,11.1504331238,-0.212512476993,20.9096363123,-7.87165576008,2034.25214844,1.46408815853,12.9880204397,5.54006542631,7.94370387111,1.70158643595,2.16640853262,4.2901953554,4.72581317163,1.11564859957,0.290911787031,6.29737145927,7.4980176123,9.21891820965,-2.58465272211,7.33763601983,0.80761747625,-0.144355331803,0.767955886719,0.07576129134,3.75240631651,2.34945064046,-0.621143588827,0.514119391809,0.780408420278,5.22734173924,0.926470688553,-3.14627997704,2.1911627751
ukbench00002.jpg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,3749.89273437,-5.4715788416,3665.03403906,3621.7424375,-20.7084058266,3.48391283483,7.83589812936,0.86145500222,22.0361118758,3601.92420312,3579.79058594,41.2055970819,0.110733263944,30.4185455154,4.71978308481,-1.04571339944,31.5470000426,-1.14758461238,8.92494631992,58.7022402838,3571.00653125,3673.30451563,37.7436216478,1.99496397804,7.79699685421,6.73352376074,6.90635439708,-3.92247794575,-2.91095913107,-7.07985074108,0.51053074907,14.608737711,7.55106452952,10.1641059262,-8.27907138349,3755.04567969,-3.22793356948,7.49695565889,-1.79351251781,15.6848382222,5.12568823217,8.78582062096,-11.9923570717,1.56422100942,9.48628754667,5.39989495091,5.86875426444,17.8361522613,0.582381400059,3.51233517788,14.3840434827,1.63899458998,8.26301822253,1.11981095511,1.4692820589,5.85733387291,1.50641751446,3.50522222696,1.05265225452,-1.16889078951,2.90789224925,-3.46790260969,-1.4059930745,-1.73925847467
1,2048.87842969,0.488029386176,2061.17644531,2080.21635937,2.55134182073,-0.336160487904,-0.861550907369,-0.811563209032,-1.14562316705,2078.76685156,2079.64528125,-4.17659122118,-4.70894420716,-4.51933748238,-0.621143588827,0.171373130603,-5.59029229944,-1.17415304799,-5.75329925555,-3.44620362948,2078.76685156,2062.35132031,-1.64625388896,-5.41713876764,-2.7501772362,-2.48457435531,-1.5256386785,0.811563209032,0.730387591701,-0.336160487904,0.019828402706,-3.52495492557,-2.9215503668,-1.28696593016,1.38311316922,2048.87842969,0.488029386176,-1.73657112776,-1.97374328035,-4.1460985144,-1.09056663733,-1.629638461,1.77411846385,-1.3372429185,-1.43228913778,-1.9521175447,-2.68648096269,-1.32367323692,-0.336160487904,-0.861550907369,-2.69419284603,-0.57177005428,-2.24385234682,-0.197463136236,-0.685492522412,-1.48388418484,-0.632344165291,-0.621143588827,0.171373130603,-0.39844121908,0.305852252785,0.488843474578,0.811563209032,0.730387591701
